subject_id,ferengi-18_Odd_x-6_dust_lane,ferengi-18_Odd_x-5_merger,ferengi-18_Odd_x-4_other,ferengi-18_Odd_x-3_irregular,ferengi-18_Odd_x-2_disturbed,ferengi-18_Odd_x-1_lens_or_arc,ferengi-18_Odd_x-0_ring,ferengi-18_Odd_a-0_done,ferengi-17_Odd_a-1_no,ferengi-17_Odd_a-0_yes,ferengi-16_Discuss_a-1_no,ferengi-16_Discuss_a-0_yes,ferengi-15_Bulge_a-2_dominant,ferengi-15_Bulge_a-1_obvious,ferengi-15_Bulge_a-0_no_bulge,ferengi-14_Spiral_a-5_can't_tell,ferengi-14_Spiral_a-4_more_than_4,ferengi-14_Spiral_a-3_4,ferengi-14_Spiral_a-2_3,ferengi-14_Spiral_a-1_2,ferengi-14_Spiral_a-0_1,ferengi-13_Spiral_a-2_loose,ferengi-13_Spiral_a-1_medium,ferengi-13_Spiral_a-0_tight,ferengi-12_Spiral_a-1_no_spiral,ferengi-12_Spiral_a-0_spiral,ferengi-11_Bar_a-1_no_bar,ferengi-11_Bar_a-0_bar,ferengi-10_Bulge_a-2_no_bulge,ferengi-10_Bulge_a-1_boxy,ferengi-10_Bulge_a-0_rounded,ferengi-9_Disk_a-1_no,ferengi-9_Disk_a-0_yes,ferengi-8_Clumps_a-1_no,ferengi-8_Clumps_a-0_yes,ferengi-7_Symmetry_a-1_no,ferengi-7_Symmetry_a-0_yes,ferengi-6_Clumps_a-1_no,ferengi-6_Clumps_a-0_yes,ferengi-5_Clumps_a-1_no,ferengi-5_Clumps_a-0_yes,ferengi-4_Clumps_a-3_spiral,_irregular,ferengi-4_Clumps_a-1_chain,ferengi-4_Clumps_a-0_straight_line,ferengi-3_Clumps_a-5_can't_tell,ferengi-3_Clumps_a-4_more_than_4,ferengi-3_Clumps_a-3_4,ferengi-3_Clumps_a-2_3,ferengi-3_Clumps_a-1_2,ferengi-3_Clumps_a-0_1,ferengi-2_Clumps_a-1_no,ferengi-2_Clumps_a-0_yes,ferengi-1_Round_a-2_cigar_shaped,ferengi-1_Round_a-1_in_between,ferengi-1_Round_a-0_completely_round,ferengi-0_Shape_a-2_star_or_artifact,ferengi-0_Shape_a-1_features_or_disk,ferengi-0_Shape_a-0_smooth
5249ce0c3ae74072a3003e36,,,0.200000002980232,,,,,0.400000005960464,0.800000011920929,0.200000002980232,0.949999988079071,0.0500000007450581,,,1,,,,,,,,,,1,,1,,,,,0.333333343267441,0.666666686534882,0.400000005960464,0.600000023841858,0.800000011920929,0.200000002980232,,1,0.75,0.25,,,,,0.400000005960464,0.400000005960464,,,,0.200000002980232,0.375,0.625,0.16666667163372,0.666666686534882,0.16666667163372,0.5,0.200000002980232,0.300000011920929
5249ce0c3ae74072a3003f57,,,0.25,,,,,0.5,0.933333337306976,0.0666666701436043,0.925000011920929,0.0750000029802322,,0.25,0.75,,,,,,,,,,1,,1,,,,,0.5,0.5,,1,,1,,,1,,,,,,0.5,0.5,,,,,0.800000011920929,0.200000002980232,0.200000002980232,0.800000011920929,,0.25,0.25,0.5
5249ce0c3ae74072a300451e,,,,,,,,0.5,0.878787875175476,0.121212124824524,0.975000023841858,0.025000000372529,,0.5,0.5,,,,,,,,1,,0.5,0.5,1,,,,,1,,0.5,0.5,0.75,0.25,,1,0.333333343267441,0.666666686534882,,0.666666686534882,,,0.5,0.25,,,,0.25,0.600000023841858,0.400000005960464,,0.0869565233588219,0.91304349899292,0.174999997019768,0.25,0.574999988079071
5249ce0c3ae74072a300463f,,,0.125,,,,,0.5,0.888888895511627,0.111111111938953,0.975000023841858,0.025000000372529,,0.649999976158142,0.349999994039536,,,,,,,,0.529411792755127,,0.150000005960464,0.850000023841858,0.800000011920929,0.200000002980232,,,,1,,0.200000002980232,0.800000011920929,0.600000023841858,0.400000005960464,,0.75,0.333333343267441,0.666666686534882,,,,,0.666666686534882,0.16666667163372,,,,,0.769230782985687,0.230769231915474,,0.200000002980232,0.800000011920929,0.100000001490116,0.649999976158142,0.25
5249ce0c3ae74072a300342f,,,,,,,,0.5,0.935483872890472,0.0645161271095276,1,,1,,,,,,,,,,,,,1,1,,,,,0.5,0.5,0.266666680574417,0.733333349227905,0.800000011920929,0.200000002980232,,1,0.600000023841858,0.400000005960464,,0.733333349227905,,,0.533333361148834,0.133333340287209,,,,,0.117647059261799,0.882352948188782,,0.642857134342194,0.357142865657806,0.224999994039536,0.425000011920929,0.349999994039536
5249ce0c3ae74072a3003c05,,,0.333333343267441,,,,,0.5,0.914285719394684,0.0857142880558968,0.975000023841858,0.025000000372529,,,,,,,,,,,,,,,,,0.857142865657806,,,,1,,,,,,,,,,,,,,,,,,,1,,0.952380955219269,0.0476190485060215,,0.125,0.349999994039536,0.524999976158142
5249ce0c3ae74072a3003d26,,,,,,,,0.75,0.892857134342194,0.107142858207226,0.975000023841858,0.025000000372529,,0.800000011920929,0.200000002980232,,,,,,,,,,0.800000011920929,0.200000002980232,1,,1,,,0.833333313465118,0.16666667163372,1,,1,,,,1,,,,,,,1,,,,,0.857142865657806,0.142857149243355,,0.142857149243355,0.857142865657806,0.300000011920929,0.174999997019768,0.524999976158142
5249ce0c3ae74072a3003e47,0.0666666701436043,0.0666666701436043,,0.400000005960464,,,0.0666666701436043,0.400000005960464,0.739130437374115,0.260869562625885,0.925000011920929,0.0750000029802322,,,1,,,,,,,,,,1,,1,,,,,1,,0.555555582046509,0.444444447755814,0.888888895511627,0.111111111938953,,1,0.888888895511627,0.111111111938953,0.222222223877907,0.222222223877907,0.333333343267441,0.222222223877907,0.777777791023254,,0.111111111938953,0.111111111938953,,,0.181818187236786,0.818181812763214,0.0833333358168602,0.75,0.16666667163372,0.425000011920929,0.275000005960464,0.300000011920929
5249ce0c3ae74072a3003f68,0.25,,,0.25,,,,0.5,0.935483872890472,0.0645161271095276,0.975000023841858,0.025000000372529,,,,,,,,,,,,,1,,1,,,,,1,,0.5,0.5,1,,,1,0.666666686534882,0.333333343267441,,0.666666686534882,,0.333333343267441,,,0.25,0.25,,,0.200000002980232,0.800000011920929,0.307692319154739,0.653846144676208,0.0384615398943424,0.224999994039536,0.125,0.649999976158142
5249ce0c3ae74072a300452f,,0.0588235296308994,,0.0588235296308994,,,,0.411764711141586,0.75,0.25,0.949999988079071,0.0500000007450581,,,0.5,,,,,,,,,,0.25,,1,,,,,1,,,1,,1,,,1,,,1,,,0.5,,,,,,0.666666686534882,0.333333343267441,,0.0909090936183929,0.909090936183929,0.300000011920929,0.150000005960464,0.550000011920929
