subject_id, sim_redshift, sim_evolution, filename
5249ce0c3ae74072a30033c1,0.300,0.0,587725041707647104_z0.300_evo0.0.jpg
5249ce0c3ae74072a30033c2,0.300,0.5,587725041707647104_z0.300_evo0.5.jpg
5249ce0c3ae74072a30033c3,0.300,1.0,587725041707647104_z0.300_evo1.0.jpg
5249ce0c3ae74072a30033c4,0.300,1.5,587725041707647104_z0.300_evo1.5.jpg
5249ce0c3ae74072a30033c5,0.300,2.0,587725041707647104_z0.300_evo2.0.jpg
5249ce0c3ae74072a30033c6,0.300,2.5,587725041707647104_z0.300_evo2.5.jpg
5249ce0c3ae74072a30033c7,0.300,3.0,587725041707647104_z0.300_evo3.0.jpg
5249ce0c3ae74072a30033c8,0.400,0.0,587725041707647104_z0.400_evo0.0.jpg
5249ce0c3ae74072a30033c9,0.400,0.5,587725041707647104_z0.400_evo0.5.jpg
5249ce0c3ae74072a30033ca,0.400,1.0,587725041707647104_z0.400_evo1.0.jpg
5249ce0c3ae74072a30033cb,0.400,1.5,587725041707647104_z0.400_evo1.5.jpg
5249ce0c3ae74072a30033cc,0.400,2.0,587725041707647104_z0.400_evo2.0.jpg
5249ce0c3ae74072a30033cd,0.400,2.5,587725041707647104_z0.400_evo2.5.jpg
5249ce0c3ae74072a30033ce,0.400,3.0,587725041707647104_z0.400_evo3.0.jpg
5249ce0c3ae74072a30033cf,0.500,0.0,587725041707647104_z0.500_evo0.0.jpg
5249ce0c3ae74072a30033d0,0.500,0.5,587725041707647104_z0.500_evo0.5.jpg
5249ce0c3ae74072a30033d1,0.500,1.0,587725041707647104_z0.500_evo1.0.jpg
5249ce0c3ae74072a30033d2,0.500,1.5,587725041707647104_z0.500_evo1.5.jpg
5249ce0c3ae74072a30033d3,0.500,2.0,587725041707647104_z0.500_evo2.0.jpg
5249ce0c3ae74072a30033d4,0.500,2.5,587725041707647104_z0.500_evo2.5.jpg
5249ce0c3ae74072a30033d5,0.500,3.0,587725041707647104_z0.500_evo3.0.jpg
5249ce0c3ae74072a30033d6,0.600,0.0,587725041707647104_z0.600_evo0.0.jpg
5249ce0c3ae74072a30033d7,0.600,0.5,587725041707647104_z0.600_evo0.5.jpg
5249ce0c3ae74072a30033d8,0.600,1.0,587725041707647104_z0.600_evo1.0.jpg
5249ce0c3ae74072a30033d9,0.600,1.5,587725041707647104_z0.600_evo1.5.jpg
5249ce0c3ae74072a30033da,0.600,2.0,587725041707647104_z0.600_evo2.0.jpg
5249ce0c3ae74072a30033db,0.600,2.5,587725041707647104_z0.600_evo2.5.jpg
5249ce0c3ae74072a30033dc,0.600,3.0,587725041707647104_z0.600_evo3.0.jpg
5249ce0c3ae74072a30033dd,0.700,0.0,587725041707647104_z0.700_evo0.0.jpg
5249ce0c3ae74072a30033de,0.700,0.5,587725041707647104_z0.700_evo0.5.jpg
5249ce0c3ae74072a30033df,0.700,1.0,587725041707647104_z0.700_evo1.0.jpg
5249ce0c3ae74072a30033e0,0.700,1.5,587725041707647104_z0.700_evo1.5.jpg
5249ce0c3ae74072a30033e1,0.700,2.0,587725041707647104_z0.700_evo2.0.jpg
5249ce0c3ae74072a30033e2,0.700,2.5,587725041707647104_z0.700_evo2.5.jpg
5249ce0c3ae74072a30033e3,0.700,3.0,587725041707647104_z0.700_evo3.0.jpg
5249ce0c3ae74072a30033e4,0.800,0.0,587725041707647104_z0.800_evo0.0.jpg
5249ce0c3ae74072a30033e5,0.800,0.5,587725041707647104_z0.800_evo0.5.jpg
5249ce0c3ae74072a30033e6,0.800,1.0,587725041707647104_z0.800_evo1.0.jpg
5249ce0c3ae74072a30033e7,0.800,1.5,587725041707647104_z0.800_evo1.5.jpg
5249ce0c3ae74072a30033e8,0.800,2.0,587725041707647104_z0.800_evo2.0.jpg
5249ce0c3ae74072a30033e9,0.800,2.5,587725041707647104_z0.800_evo2.5.jpg
5249ce0c3ae74072a30033ea,0.800,3.0,587725041707647104_z0.800_evo3.0.jpg
5249ce0c3ae74072a30033eb,0.900,0.0,587725041707647104_z0.900_evo0.0.jpg
5249ce0c3ae74072a30033ec,0.900,0.5,587725041707647104_z0.900_evo0.5.jpg
5249ce0c3ae74072a30033ed,0.900,1.0,587725041707647104_z0.900_evo1.0.jpg
5249ce0c3ae74072a30033ee,0.900,1.5,587725041707647104_z0.900_evo1.5.jpg
5249ce0c3ae74072a30033ef,0.900,2.0,587725041707647104_z0.900_evo2.0.jpg
5249ce0c3ae74072a30033f0,0.900,2.5,587725041707647104_z0.900_evo2.5.jpg
5249ce0c3ae74072a30033f1,0.900,3.0,587725041707647104_z0.900_evo3.0.jpg
5249ce0c3ae74072a30033f2,1.000,0.0,587725041707647104_z1.000_evo0.0.jpg
5249ce0c3ae74072a30033f3,1.000,0.5,587725041707647104_z1.000_evo0.5.jpg
5249ce0c3ae74072a30033f4,1.000,1.0,587725041707647104_z1.000_evo1.0.jpg
5249ce0c3ae74072a30033f5,1.000,1.5,587725041707647104_z1.000_evo1.5.jpg
5249ce0c3ae74072a30033f6,1.000,2.0,587725041707647104_z1.000_evo2.0.jpg
5249ce0c3ae74072a30033f7,1.000,2.5,587725041707647104_z1.000_evo2.5.jpg
5249ce0c3ae74072a30033f8,1.000,3.0,587725041707647104_z1.000_evo3.0.jpg
5249ce0c3ae74072a30033f9,0.300,0.0,587725503408111766_z0.300_evo0.0.jpg
5249ce0c3ae74072a30033fa,0.300,0.5,587725503408111766_z0.300_evo0.5.jpg
