subject_id,t01_smooth_or_features_a01_smooth_frac,t01_smooth_or_features_a02_features_frac,t01_smooth_or_features_a03_artifact_frac,t01_smooth_or_features_count,t02_disk_edge_on_a04_yes_frac,t02_disk_edge_on_a05_no_frac,t02_disk_edge_on_count,t03_bar_a06_bar_frac,t03_bar_a07_no_bar_frac,t03_bar_count,t04_spiral_a08_spiral_frac,t04_spiral_a09_no_spiral_frac,t04_spiral_count,t05_bulge_prominence_a10_no_bulge_frac,t05_bulge_prominence_a11_just_noticeable_frac,t05_bulge_prominence_a12_obvious_frac,t05_bulge_prominence_a13_dominant_frac,t05_bulge_prominence_count,t06_odd_a14_yes_frac,t06_odd_a15_no_frac,t06_odd_count,t07_rounded_a16_completely_round_frac,t07_rounded_a17_in_between_frac,t07_rounded_a18_cigar_shaped_frac,t07_rounded_count,t08_odd_feature_a19_ring_frac,t08_odd_feature_a20_lens_frac,t08_odd_feature_a21_disturbed_frac,t08_odd_feature_a22_irregular_frac,t08_odd_feature_a23_other_frac,t08_odd_feature_a24_merger_frac,t08_odd_feature_a38_dustlane_frac,t08_odd_feature_count,t09_bulge_shape_a25_rounded_frac,t09_bulge_shape_a26_boxy_frac,t09_bulge_shape_a27_no_bulge_frac,t09_bulge_shape_count,t10_arms_winding_a28_tight_frac,t10_arms_winding_a29_medium_frac,t10_arms_winding_a30_loose_frac,t10_arms_winding_count,t11_arms_number_a31_1_frac,t11_arms_number_a32_2_frac,t11_arms_number_a33_3_frac,t11_arms_number_a34_4_frac,t11_arms_number_a36_more_than_4_frac,t11_arms_number_a37_cant_tell_frac,t11_arms_number_count,t14_clumpy_a39_yes_frac,t14_clumpy_a40_no_frac,t14_clumpy_count,t16_bright_clump_a43_yes_frac,t16_bright_clump_a44_no_frac,t16_bright_clump_count,t17_bright_clump_central_a45_yes_frac,t17_bright_clump_central_a46_no_frac,t17_bright_clump_central_count,t18_clumps_arrangement_a47_line_frac,t18_clumps_arrangement_a48_chain_frac,t18_clumps_arrangement_a49_cluster_frac,t18_clumps_arrangement_a59_spiral_frac,t18_clumps_arrangement_count,t19_clumps_count_a50_2_frac,t19_clumps_count_a51_3_frac,t19_clumps_count_a52_4_frac,t19_clumps_count_a53_more_than_4_frac,t19_clumps_count_a54_cant_tell_frac,t19_clumps_count_a60_1_frac,t19_clumps_count_count,t20_clumps_symmetrical_a55_yes_frac,t20_clumps_symmetrical_a56_no_frac,t20_clumps_symmetrical_count,t21_clumps_embedded_a57_yes_frac,t21_clumps_embedded_a58_no_frac,t21_clumps_embedded_a58_count,t22_discuss_a61_yes_frac,t22_discuss_a62_no_frac,t22_discuss_count
5249ce0c3ae74072a3003a22,0.55,0.225,0.225,40,0.5714285714285714,0.42857142857142855,7,0.3333333333333333,0.6666666666666666,3,0.0,1.0,3,0.6666666666666666,0.3333333333333333,0.0,0.0,3,0.22580645161290322,0.7741935483870968,31,0.0,0.3181818181818182,0.6818181818181818,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.25,0.0,0.75,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2222222222222222,0.7777777777777778,9,1.0,0.0,1,1.0,0.0,1,1.0,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0,0.0,0.5,2,1.0,0.0,2,1.0,0.0,2,0.0,1.0,40
5249ce0c3ae74072a3003a23,0.5,0.325,0.175,40,0.875,0.125,8,1.0,0.0,1,1.0,0.0,1,0.0,1.0,0.0,0.0,1,0.15151515151515152,0.8484848484848485,33,0.0,0.45,0.55,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.2857142857142857,0.7142857142857143,7,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0.38461538461538464,0.6153846153846154,13,0.6666666666666666,0.3333333333333333,3,1.0,0.0,2,1.0,0.0,0.0,0.0,2,0.4,0.2,0.0,0.0,0.0,0.4,5,0.2,0.8,5,0.6,0.4,5,0.125,0.875,40
5249ce0c3ae74072a3003a20,0.45,0.325,0.225,40,0.625,0.375,8,0.3333333333333333,0.6666666666666666,3,0.3333333333333333,0.6666666666666666,3,0.6666666666666666,0.3333333333333333,0.0,0.0,3,0.0967741935483871,0.9032258064516129,31,0.05555555555555555,0.3333333333333333,0.6111111111111112,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.4,0.6,5,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0.38461538461538464,0.6153846153846154,13,0.25,0.75,4,1.0,0.0,1,0.25,0.25,0.25,0.25,4,0.2,0.0,0.0,0.0,0.2,0.6,5,0.6,0.4,5,0.6,0.4,5,0.05,0.95,40
5249ce0c3ae74072a3003a21,0.6,0.3,0.1,40,0.7,0.3,10,0.3333333333333333,0.6666666666666666,3,0.3333333333333333,0.6666666666666666,3,0.3333333333333333,0.6666666666666666,0.0,0.0,3,0.05555555555555555,0.9444444444444444,36,0.0,0.5416666666666666,0.4583333333333333,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.2857142857142857,0.7142857142857143,7,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0.16666666666666666,0.8333333333333334,12,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.5,0.5,2,0.5,0.5,2,0.0,1.0,40
5249ce0c3ae74072a3003a26,0.4,0.4,0.2,40,0.4,0.6,10,0.5,0.5,6,0.0,1.0,6,0.0,0.5,0.5,0.0,6,0.375,0.625,32,0.0,0.375,0.625,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.25,0.75,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.375,0.625,16,0.8,0.2,5,0.75,0.25,4,0.75,0.0,0.0,0.25,4,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,6,0.4,0.6,5,0.8,0.2,5,0.025,0.975,40
5249ce0c3ae74072a3003a27,0.55,0.35,0.1,40,0.4,0.6,5,0.3333333333333333,0.6666666666666666,3,0.0,1.0,3,0.3333333333333333,0.6666666666666666,0.0,0.0,3,0.19444444444444445,0.8055555555555556,36,0.0,0.6818181818181818,0.3181818181818182,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.5,0.5,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6428571428571429,0.35714285714285715,14,0.42857142857142855,0.5714285714285714,7,1.0,0.0,3,0.2,0.4,0.2,0.2,5,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.5555555555555556,9,0.5555555555555556,0.4444444444444444,9,0.5555555555555556,0.4444444444444444,9,0.0,1.0,40
5249ce0c3ae74072a3003a24,0.55,0.325,0.125,40,0.6,0.4,10,0.25,0.75,4,0.0,1.0,4,0.75,0.0,0.25,0.0,4,0.17142857142857143,0.8285714285714286,35,0.0,0.4090909090909091,0.5909090909090909,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.16666666666666666,0.6666666666666666,0.16666666666666666,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.23076923076923078,0.7692307692307693,13,0.0,1.0,1,0.0,0.0,0,0.0,0.0,0.0,1.0,1,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,3,0.3333333333333333,0.6666666666666666,3,1.0,0.0,3,0.025,0.975,40
5249ce0c3ae74072a3003a25,0.5,0.225,0.275,40,0.8,0.2,5,0.0,1.0,1,0.0,1.0,1,0.0,1.0,0.0,0.0,1,0.1724137931034483,0.8275862068965517,29,0.0,0.55,0.45,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.75,0.25,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4444444444444444,0.5555555555555556,9,0.6666666666666666,0.3333333333333333,3,1.0,0.0,2,1.0,0.0,0.0,0.0,2,0.25,0.25,0.0,0.0,0.0,0.5,4,0.25,0.75,4,0.75,0.25,4,0.025,0.975,40
5249ce0c3ae74072a3003a28,0.7,0.1,0.2,40,1.0,0.0,4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.03125,0.96875,32,0.0,0.42857142857142855,0.5714285714285714,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.25,0.75,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,40
5249ce0c3ae74072a3003a29,0.525,0.275,0.2,40,0.2222222222222222,0.7777777777777778,9,0.14285714285714285,0.8571428571428571,7,0.14285714285714285,0.8571428571428571,7,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7,0.09375,0.90625,32,0.0,0.38095238095238093,0.6190476190476191,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.5,0.5,2,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1,0.18181818181818182,0.8181818181818182,11,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,2,0.5,0.5,2,0.025,0.975,40
